"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_nonprofit.org","FirstLinkDate_alsnonprofit.org","LastLinkDate_nonprofit.org"
230,"h2ns.dk",4420,-1,1,2,30343,80614,24092,23/01/2008 00:00,10/08/2013 00:00,"46.30.211.48","46.30.211.0","DK","dk",24,12,2,22/03/2012 00:00,03/04/2012 00:00
231,"almasri88.com",4140,-1,1,2,27398,475290,108622,15/10/2010 00:00,10/08/2013 00:00,"178.63.123.90","178.63.123.0","DE","com",29,6,2,27/05/2013 00:00,08/07/2013 00:00
232,"cari-pdf.com",14,-1,1,2,625,656993,656993,14/01/2010 00:00,10/08/2013 00:00,"67.215.66.132","67.215.66.0","US","com",0,0,2,26/05/2010 00:00,26/05/2010 00:00
233,"ukcrawler.co.uk",5116,-1,1,2,1640531,1577607,632045,13/01/2008 00:00,15/03/2012 00:00,"81.21.75.42","81.21.75.0","UK","uk",16,12,2,18/01/2010 00:00,18/01/2010 00:00
234,"vtheshow.com",811,-1,1,2,17903,390,335,14/02/2008 00:00,10/08/2013 00:00,"24.120.206.234","24.120.206.0","US","com",21,25,2,12/02/2008 00:00,14/02/2008 00:00
235,"azgopher.com",137,-1,1,2,993,152308,114562,20/01/2008 00:00,10/10/2010 00:00,"173.214.184.15","173.214.184.0","US","com",6,2,2,28/04/2008 00:00,28/04/2008 00:00
236,"newsportal.co.tv",51,-1,1,2,643,826673,104755,09/09/2010 00:00,25/03/2011 00:00,"209.51.196.254","209.51.196.0","US","tv",4,0,2,03/12/2010 00:00,03/12/2010 00:00
237,"uksubmit.co.uk",616,-1,1,2,709516,3092808,789555,22/01/2008 00:00,03/03/2012 00:00,"81.21.75.42","81.21.75.0","UK","uk",13,17,2,21/07/2010 00:00,21/07/2010 00:00
238,"trendtempo.com",1215,-1,1,2,15786,150979,81806,22/09/2010 00:00,10/08/2013 00:00,"206.214.217.24","206.214.217.0","US","com",9,1,2,03/12/2010 00:00,21/03/2013 00:00
239,"blogspot.se",93461,-1,1,2,39033811,43624600,3202326,12/08/2008 00:00,10/08/2013 00:00,"173.194.71.191","173.194.71.0","US","se",53,43,2,25/04/2013 00:00,25/04/2013 00:00
240,"bookmarkagent.com",36,-1,1,2,204,650532,78240,26/01/2009 00:00,13/07/2009 00:00,"8.5.1.36","8.5.1.0","US","com",0,0,2,30/05/2009 00:00,30/05/2009 00:00
241,"boombox507.com",154,-1,1,2,2279,204812,18320,25/05/2008 00:00,23/07/2013 00:00,"184.168.221.41","184.168.221.0","US","com",6,0,2,27/11/2010 00:00,07/12/2010 00:00
242,"centrpsy.ru",1227,-1,1,2,4993,44214,22567,06/06/2008 00:00,10/08/2013 00:00,"217.107.34.231","217.107.34.0","RU","ru",26,9,2,23/06/2013 00:00,23/06/2013 00:00
243,"amazinggolfbag.com",14,-1,1,2,231,11314,11307,20/03/2013 00:00,21/06/2013 00:00,"74.220.215.238","74.220.215.0","US","com",5,0,2,01/04/2013 00:00,01/04/2013 00:00
244,"qwesy.de",6,-1,1,2,55,886579,886579,17/09/2008 00:00,14/06/2013 00:00,"82.98.86.161","82.98.86.0","DE","de",0,0,2,16/03/2009 00:00,16/03/2009 00:00
245,"polawiaczewielorybow.pl",831,-1,1,2,5126,4834,3852,01/10/2010 00:00,15/07/2013 00:00,"89.161.230.92","89.161.230.0","PL","pl",13,6,2,30/04/2012 00:00,30/04/2012 00:00
