"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_pharmacycompany.com","FirstLinkDate_pharmacycompany.com","LastLinkDate_pharmacycompany.com"
128,"apasaracitaindeuteriu.ro",6541,-1,1,1,48162,34294,11576,08/07/2008 00:00,09/08/2013 00:00,"93.115.117.156","93.115.117.0","RO","ro",22,8,1,13/05/2012 00:00,13/05/2012 00:00
129,"liquid-deception.net",980,-1,1,1,59710,45528,38331,13/01/2008 00:00,26/07/2012 00:00,"69.43.161.167","69.43.161.0","US","net",26,9,1,03/05/2011 00:00,03/05/2011 00:00
130,"propertylondon.net",31,-1,1,1,1202,669610,669610,10/10/2008 00:00,18/02/2013 00:00,"82.98.86.172","82.98.86.0","DE","net",0,0,1,01/09/2010 00:00,01/09/2010 00:00
131,"polustrovo.net",1985,-1,1,1,20146,287452,118640,31/01/2008 00:00,10/08/2013 00:00,"84.204.225.3","84.204.225.0","RU","net",26,15,1,26/04/2012 00:00,26/04/2012 00:00
132,"negaheno.net",929,-1,1,1,20777,18287,9867,27/06/2008 00:00,10/08/2013 00:00,"65.254.250.109","65.254.250.0","US","net",26,8,1,01/08/2012 00:00,01/08/2012 00:00
133,"moltqaa.net",6348,-1,1,1,82126,108321,30332,03/06/2008 00:00,10/08/2013 00:00,"5.153.2.232","5.153.2.0","NL","net",35,4,1,06/05/2012 00:00,06/05/2012 00:00
134,"paski.org.pl",1682,-1,1,1,20446,1646,1386,26/03/2008 00:00,10/08/2013 00:00,"79.96.148.162","79.96.148.0","PL","pl",30,4,1,26/07/2012 00:00,26/07/2012 00:00
135,"propertynewcastle.net",13,-1,1,1,845,711019,711019,09/10/2008 00:00,29/07/2013 00:00,"82.98.86.172","82.98.86.0","DE","net",0,0,1,25/08/2010 00:00,25/08/2010 00:00
136,"spbfree.net",498,-1,1,1,62250,1224270,352162,30/01/2008 00:00,10/08/2013 00:00,"84.204.225.3","84.204.225.0","RU","net",27,8,1,01/08/2012 00:00,01/08/2012 00:00
137,"xtremeoutfitters.net",354,-1,1,1,5104,4778155,217243,01/07/2008 00:00,03/07/2013 00:00,"96.9.163.236","96.9.163.0","US","net",7,8,1,01/10/2010 00:00,01/10/2010 00:00
138,"allthatremains.org",10223,-1,1,1,82390,544214,255363,25/01/2008 00:00,10/08/2013 00:00,"74.86.80.229","74.86.80.0","US","org",39,18,1,16/07/2013 00:00,16/07/2013 00:00
139,"tnua.edu.tw",69266,-1,1,1,3486626,293743,128595,25/01/2008 00:00,10/08/2013 00:00,"60.251.46.221","60.251.46.0","TW","tw",46,66,1,30/04/2012 00:00,30/04/2012 00:00
140,"dveri-dona.ru",438,-1,1,1,2333,2740,825,04/05/2011 00:00,10/08/2013 00:00,"89.111.177.153","89.111.177.0","RU","ru",10,2,1,26/07/2012 00:00,26/07/2012 00:00
141,"firstpresbyterian.org",5334,-1,1,1,33859,63260,33703,27/01/2008 00:00,10/08/2013 00:00,"208.69.124.28","208.69.124.0","US","org",32,31,1,19/07/2013 00:00,19/07/2013 00:00
142,"fundacionporlajusticia.org",541,-1,1,1,8963,1491,1013,27/06/2008 00:00,10/08/2013 00:00,"31.193.225.51","31.193.225.0","ES","org",27,19,1,13/07/2013 00:00,10/08/2013 00:00
143,"ucfccc.org",3099,-1,1,1,21086,39961,7768,24/02/2008 00:00,10/08/2013 00:00,"74.220.203.52","74.220.203.0","US","org",17,3,1,23/05/2012 00:00,19/10/2012 00:00
144,"knprtalk.org",34,-1,1,1,74,2967,2678,06/08/2010 00:00,10/08/2013 00:00,"66.209.79.122","66.209.79.0","US","org",9,19,1,18/08/2011 00:00,07/06/2013 00:00
145,"sugarstitch.org",18,-1,1,1,265,37150,16313,19/10/2011 00:00,09/08/2013 00:00,"98.129.229.162","98.129.229.0","US","org",9,0,1,06/05/2012 00:00,06/05/2012 00:00
