"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_autoshop.com","FirstLinkDate_autoshop.com","LastLinkDate_autoshop.com"
74,"cuba-rundreisen.de",447,-1,1,4,2339,85871,34163,17/10/2011 00:00,10/08/2013 00:00,"87.106.153.186","87.106.153.0","DE","de",17,1,4,30/07/2013 00:00,30/07/2013 00:00
75,"wldirectory.com",5660,15854,1,3,224244,362467,176878,09/01/2009 00:00,10/08/2013 00:00,"176.31.69.138","176.31.69.0","FR","com",38,32,3,13/09/2012 00:00,13/09/2012 00:00
76,"agrieducation.org",6191,25644,1,3,283370,665880,187939,23/02/2011 00:00,10/08/2013 00:00,"50.63.124.1","50.63.124.0","US","org",29,17,3,14/06/2013 00:00,14/06/2013 00:00
77,"craftrobo.se",4940,-1,1,3,30923,141230,53242,18/02/2008 00:00,10/08/2013 00:00,"195.47.247.250","195.47.247.0","DK","se",33,4,3,09/05/2013 00:00,11/05/2013 00:00
78,"medicalmarijuanakansas.org",130,-1,1,3,1340,4738,3934,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,1,3,03/03/2013 00:00,04/08/2013 00:00
79,"jpkh.org",8581,-1,1,3,123297,134023,38569,24/01/2008 00:00,10/08/2013 00:00,"85.17.109.62","85.17.109.0","NL","org",43,4,3,27/06/2012 00:00,21/07/2013 00:00
80,"medicalmarijuananewhampshire.org",102,-1,1,3,500,4821,4055,01/03/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,0,3,18/03/2013 00:00,09/08/2013 00:00
81,"goncil.org",85,-1,1,3,612,443,271,24/04/2011 00:00,10/08/2013 00:00,"184.168.152.52","184.168.152.0","US","org",18,3,3,25/06/2012 00:00,04/07/2012 00:00
82,"studentische-mitte.de",55401,-1,1,3,3260329,1787049,939310,31/03/2008 00:00,10/08/2013 00:00,"87.106.23.68","87.106.23.0","DE","de",32,5,3,05/05/2012 00:00,17/07/2012 00:00
83,"medicalmarijuanatexas.org",119,-1,1,3,759,5313,4185,27/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",21,2,3,01/03/2013 00:00,09/08/2013 00:00
84,"bridal-buy.com",2624,-1,1,3,253499,221225,125030,21/06/2012 00:00,10/08/2013 00:00,"66.220.4.87","66.220.4.0","US","com",39,28,3,24/02/2013 00:00,13/03/2013 00:00
85,"messiahbaptist-ct.org",1111,-1,1,3,6028,1448,946,16/07/2008 00:00,10/08/2013 00:00,"68.178.232.95","68.178.232.0","US","org",24,3,3,26/07/2012 00:00,26/07/2012 00:00
86,"medicalmarijuanamassachusetts.com",229,-1,1,3,1535,5193,4643,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","com",23,2,3,17/04/2013 00:00,22/07/2013 00:00
87,"touchlingerie.com",18002,-1,1,3,227075,136059,57764,06/02/2008 00:00,09/08/2013 00:00,"70.38.55.226","70.38.55.0","CA","com",29,9,3,04/07/2012 00:00,04/07/2012 00:00
88,"islamickorner.net",1669,-1,1,3,49730,567941,174159,01/06/2011 00:00,10/08/2013 00:00,"206.253.167.162","206.253.167.0","US","net",30,9,3,26/04/2012 00:00,19/10/2012 00:00
89,"negaheno.net",929,-1,1,3,20777,18287,9867,27/06/2008 00:00,10/08/2013 00:00,"65.254.250.109","65.254.250.0","US","net",26,8,3,31/05/2012 00:00,31/05/2012 00:00
90,"larrymaluma.com.au",73,-1,1,3,821,469,300,16/02/2008 00:00,10/08/2013 00:00,"69.72.240.26","69.72.240.0","US","au",13,10,3,09/06/2013 00:00,10/08/2013 00:00
91,"medicalmarijuanatexas.net",72,-1,1,3,508,4443,3930,24/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",16,2,3,21/07/2013 00:00,09/08/2013 00:00
92,"natural-skincare-products.info",478,-1,1,3,23287,4969,2260,10/04/2011 00:00,09/02/2013 00:00,"216.172.170.48","216.172.170.0","US","info",9,0,3,16/05/2012 00:00,10/01/2013 00:00
