"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sushirestaurant.com","FirstLinkDate_sushirestaurant.com","LastLinkDate_sushirestaurant.com"
102,"webmii.com",354,330190,1,5,315304,1076343,1076343,23/09/2009 00:00,10/08/2013 00:00,"195.95.224.130","195.95.224.0","FR","com",13,5,5,23/01/2010 00:00,12/05/2012 00:00
103,"zappisearch.com",528,-1,1,5,2415,98327,83319,20/01/2009 00:00,22/11/2009 00:00,"72.29.71.247","72.29.71.0","US","com",6,9,5,10/07/2009 00:00,02/09/2009 00:00
104,"hirby.com",12531,-1,1,5,316295,3408178,304098,06/07/2009 00:00,10/08/2013 00:00,"184.168.221.52","184.168.221.0","US","com",25,24,5,23/03/2012 00:00,28/05/2012 00:00
105,"jwvegas.com",18,-1,1,5,4733,13251,9685,19/01/2008 00:00,10/08/2013 00:00,"67.20.113.241","67.20.113.0","US","com",13,3,5,11/07/2013 00:00,11/07/2013 00:00
106,"boorah.com",8829,-1,1,5,275945,3223191,657407,13/01/2008 00:00,10/08/2013 00:00,"206.108.40.46","206.108.40.0","US","com",27,20,5,07/01/2009 00:00,07/01/2009 00:00
107,"ahuimos8.us",41,-1,1,5,8858,59893,22462,06/03/2009 00:00,10/01/2013 00:00,"64.70.19.33","64.70.19.0","US","us",7,0,5,06/03/2009 00:00,06/03/2009 00:00
108,"bestrestaurant.co.cc",4,-1,1,5,316,11155,9996,13/11/2008 00:00,02/08/2009 00:00,"199.101.28.20","199.101.28.0","US","cc",4,0,5,21/12/2008 00:00,21/12/2008 00:00
109,"rmhlv.com",1575,-1,1,5,21255,900,312,18/02/2008 00:00,10/08/2013 00:00,"184.106.55.36","184.106.55.0","US","com",28,20,5,22/01/2012 00:00,27/02/2012 00:00
110,"saltlakerent.com",181,-1,1,5,380,159882,69056,20/01/2008 00:00,08/08/2013 00:00,"206.130.103.185","206.130.103.0","US","com",15,3,5,20/01/2008 00:00,20/01/2008 00:00
111,"servizidicredito.com",62,-1,1,5,1720,637029,383753,17/07/2008 00:00,09/12/2010 00:00,"176.9.63.234","176.9.63.0","DE","com",6,0,5,14/05/2010 00:00,14/05/2010 00:00
112,"cheerupwithfood.com",84,-1,1,5,566,1437,1385,28/10/2010 00:00,10/08/2013 00:00,"74.125.131.121","74.125.131.0","US","com",9,7,5,24/10/2010 00:00,08/12/2012 00:00
113,"leadercall.com",22704,-1,1,5,189533,20594962,1536605,10/01/2008 00:00,10/08/2013 00:00,"219.232.244.232","219.232.244.0","CN","com",21,24,5,30/08/2010 00:00,30/08/2010 00:00
114,"nightoutvegas.com",650,-1,1,5,1436,10564,8639,26/04/2010 00:00,10/08/2013 00:00,"66.170.22.82","66.170.22.0","US","com",18,10,5,06/06/2010 00:00,03/05/2011 00:00
115,"4-restaurant.com",532,-1,1,5,2661,8162,6828,11/01/2008 00:00,09/08/2013 00:00,"74.220.202.15","74.220.202.0","US","com",25,15,5,20/01/2008 00:00,20/01/2008 00:00
116,"wevv.com",2057,-1,1,5,137675,2428289,475748,08/02/2008 00:00,10/08/2013 00:00,"174.129.30.170","174.129.30.0","US","com",28,26,5,12/04/2011 00:00,12/04/2011 00:00
117,"e-ohtsu.com",48,-1,1,5,217,1315,1076,12/02/2008 00:00,09/08/2013 00:00,"157.7.144.5","157.7.144.0","JP","com",0,0,5,18/11/2008 00:00,18/11/2008 00:00
118,"manleylabs.com",5816,-1,1,5,113871,2303,980,14/01/2008 00:00,16/07/2013 00:00,"209.140.29.192","209.140.29.0","US","com",24,40,5,20/01/2008 00:00,30/09/2011 00:00
119,"ccea-nv.org",669,-1,1,5,6297,9518,5693,28/01/2008 00:00,10/08/2013 00:00,"50.87.171.204","50.87.171.0","US","org",41,17,5,18/12/2010 00:00,09/07/2012 00:00
120,"restaurantguide.com",1919,-1,1,5,19407,2947414,683363,23/01/2008 00:00,25/07/2013 00:00,"38.127.130.171","38.127.130.0","US","com",13,8,5,25/09/2009 00:00,25/09/2009 00:00
121,"ask.com",1614837,35,1,4,840060515,206178996,2750132,09/01/2008 00:00,10/08/2013 00:00,"77.109.171.184","77.109.171.0","CH","com",72,88,4,29/11/2009 00:00,29/11/2009 00:00
122,"intuit.com",554816,385,1,4,94152991,11108521,1552878,09/01/2008 00:00,10/08/2013 00:00,"75.98.51.173","75.98.51.0","US","com",69,50,4,08/02/2011 00:00,20/09/2012 00:00
123,"head-fi.org",34465,9897,1,4,1629281,7605169,1859764,23/01/2008 00:00,10/08/2013 00:00,"174.36.23.245","174.36.23.0","US","org",52,51,4,09/07/2009 00:00,09/07/2009 00:00
124,"brownbook.net",47539,12846,1,4,1839383,12778523,761479,21/04/2008 00:00,10/08/2013 00:00,"208.113.97.198","208.113.97.0","US","net",49,31,4,20/12/2012 00:00,29/12/2012 00:00
125,"zagat.com",68838,13552,1,4,3668955,3420210,849799,09/01/2008 00:00,10/08/2013 00:00,"66.70.63.23","66.70.63.0","US","com",55,67,4,28/01/2009 00:00,11/08/2009 00:00
126,"pagerankresearch.com",1400,25777,1,4,652050,1487039,158674,28/03/2011 00:00,10/08/2013 00:00,"70.38.93.118","70.38.93.0","CA","com",25,17,4,19/04/2013 00:00,19/04/2013 00:00
