"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_printingshop.com","FirstLinkDate_printingshop.com","LastLinkDate_printingshop.com"
190,"azurlingua-french-school.co.uk",100,-1,1,5,5978,2826,343,28/04/2011 00:00,10/08/2013 00:00,"95.143.72.9","95.143.72.0","UK","uk",18,16,5,24/11/2011 00:00,24/11/2011 00:00
191,"kino-blog.cc",182,-1,1,5,1687,4091,1586,07/01/2010 00:00,07/08/2013 00:00,"173.83.51.67","173.83.51.0","US","cc",13,9,5,23/11/2011 00:00,23/11/2011 00:00
192,"omelhorblogdomundo.com",48,-1,1,5,5398,308,199,28/05/2010 00:00,20/08/2012 00:00,"189.38.80.52","189.38.80.0","BR","com",7,0,5,20/11/2011 00:00,20/11/2011 00:00
193,"egitmagazine.com",259,-1,1,5,1136,1747,1175,04/10/2010 00:00,05/06/2013 00:00,"74.220.199.6","74.220.199.0","US","com",12,1,5,17/11/2011 00:00,17/11/2011 00:00
194,"travelandleisuretoday.com",371,-1,1,5,2119,47703,10641,04/10/2010 00:00,23/06/2013 00:00,"208.73.211.152","208.73.211.0","US","com",9,0,5,05/12/2011 00:00,05/12/2011 00:00
195,"veganinfo.info",212,-1,1,5,1418,3768,3306,20/11/2010 00:00,18/07/2013 00:00,"174.120.195.220","174.120.195.0","US","info",11,1,5,13/06/2012 00:00,13/06/2012 00:00
196,"bradyleepolygraph.com",413,-1,1,5,30502,49880,9056,06/01/2011 00:00,26/05/2013 00:00,"74.54.144.99","74.54.144.0","US","com",6,0,5,07/12/2011 00:00,07/12/2011 00:00
197,"bookmarkcity.com",455,-1,1,5,10305,313573,95836,21/09/2009 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",15,8,5,17/10/2011 00:00,17/10/2011 00:00
198,"day-blog.de",42,-1,1,5,37440,118,96,30/06/2013 00:00,10/08/2013 00:00,"195.225.105.124","195.225.105.0","DE","de",13,0,5,21/12/2011 00:00,19/11/2012 00:00
199,"health-insurance-companies-guide.com",25,-1,1,5,59,220,133,16/09/2009 00:00,,"91.121.81.175","91.121.81.0","FR","com",5,1,5,08/12/2011 00:00,08/12/2011 00:00
