"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cnyinthedesert.com","FirstLinkDate_cnyinthedesert.com","LastLinkDate_cnyinthedesert.com"
78,"feedburner.com",2655894,833,1,1,8364787334,293875507,23259771,09/01/2008 00:00,10/08/2013 00:00,"74.125.225.128","74.125.225.0","US","com",92,91,1,29/01/2012 00:00,29/01/2012 00:00
79,"noticias24.com",22484,1231,1,1,1989481,964957,400087,10/01/2008 00:00,10/08/2013 00:00,"173.203.146.195","173.203.146.0","US","com",58,34,1,13/06/2012 00:00,13/06/2012 00:00
80,"bearshare.com",38741,2481,1,1,3787385,753462,247679,18/01/2008 00:00,10/08/2013 00:00,"207.232.22.55","207.232.22.0","IL","com",45,34,1,29/06/2013 00:00,29/06/2013 00:00
81,"philly.com",401795,3140,1,1,49914522,22156987,1945963,09/01/2008 00:00,10/08/2013 00:00,"68.232.35.229","68.232.35.0","US","com",63,51,1,08/02/2013 00:00,08/02/2013 00:00
82,"tbo.com",212620,17985,1,1,48655915,9705350,1711415,09/01/2008 00:00,10/08/2013 00:00,"205.217.182.69","205.217.182.0","US","com",57,57,1,09/02/2013 00:00,10/02/2013 00:00
83,"tennessean.com",210110,21713,1,1,14948456,4720028,1456891,09/01/2008 00:00,10/08/2013 00:00,"23.34.84.71","23.34.84.0","US","com",63,58,1,09/02/2013 00:00,15/02/2013 00:00
84,"nerdwallet.com",15560,23223,1,1,1393765,196055,104469,11/08/2009 00:00,10/08/2013 00:00,"173.199.189.80","173.199.189.0","US","com",54,44,1,20/06/2013 00:00,01/07/2013 00:00
85,"courier-journal.com",156371,24882,1,1,10269071,3001600,1286913,10/01/2008 00:00,10/08/2013 00:00,"23.67.4.71","23.67.4.0","US","com",59,46,1,14/02/2013 00:00,14/02/2013 00:00
86,"pressofatlanticcity.com",78967,52404,1,1,3054826,8932895,959180,09/01/2008 00:00,10/08/2013 00:00,"192.104.182.209","192.104.182.0","US","com",53,54,1,08/02/2013 00:00,08/02/2013 00:00
87,"timesleader.com",100752,61129,1,1,13266411,18133161,1343597,09/01/2008 00:00,10/08/2013 00:00,"108.162.206.94","108.162.206.0","US","com",49,49,1,08/02/2013 00:00,08/02/2013 00:00
