"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_arizonasandsrvpark.com","FirstLinkDate_arizonasandsrvpark.com","LastLinkDate_arizonasandsrvpark.com"
78,"businessxtra.com",46,-1,1,3,194,65122,50882,18/01/2008 00:00,10/08/2013 00:00,"64.74.223.46","64.74.223.0","US","com",13,2,3,20/07/2008 00:00,20/07/2008 00:00
79,"abigato.com",69,-1,1,3,261,173221,93505,16/10/2010 00:00,10/08/2013 00:00,"206.41.251.156","206.41.251.0","US","com",14,9,3,04/01/2011 00:00,10/03/2013 00:00
80,"campgroundreviews.com",136,-1,1,3,1229,176120,128343,01/04/2008 00:00,10/08/2013 00:00,"206.41.251.4","206.41.251.0","US","com",8,0,3,22/11/2009 00:00,26/05/2013 00:00
81,"103721.com",83,-1,1,3,9558,272810,91186,19/02/2013 00:00,10/08/2013 00:00,"174.139.17.140","174.139.17.0","US","com",27,6,3,10/04/2013 00:00,10/04/2013 00:00
82,"coalisland.net",11,-1,1,3,15,585417,585417,09/04/2009 00:00,12/02/2013 00:00,"82.98.86.161","82.98.86.0","DE","net",0,0,3,24/04/2010 00:00,24/04/2010 00:00
83,"freeshippingstore.com",1,-1,1,3,2,195497,13582,16/01/2008 00:00,06/02/2013 00:00,"68.178.232.99","68.178.232.0","US","com",0,0,3,17/03/2008 00:00,17/03/2008 00:00
84,"careerskeywords.net",200,-1,1,3,125963,2037855,1016791,24/01/2008 00:00,17/12/2010 00:00,"173.244.181.125","173.244.181.0","US","net",5,0,3,05/04/2010 00:00,05/04/2010 00:00
85,"propertybristol.com",55,-1,1,3,16780,693102,693101,05/07/2009 00:00,05/06/2013 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,3,21/06/2010 00:00,29/06/2010 00:00
86,"yoddle.net",1236,-1,1,3,29356,5824006,691324,26/01/2008 00:00,31/07/2013 00:00,"64.74.223.32","64.74.223.0","US","net",15,14,3,03/10/2010 00:00,03/10/2010 00:00
87,"okdage.com",133,-1,1,3,1183,452821,126988,27/06/2012 00:00,10/08/2013 00:00,"74.82.188.228","74.82.188.0","US","com",14,1,3,19/03/2013 00:00,19/03/2013 00:00
